Age,Gender,Monthly Income (AED),Highest Education,Nationality,Purchase Frequency,Monthly Skincare Spend (AED),Brand Preference,Purchase Influencing Factors,Platforms Used,Most Trusted Platform,Influencer Count,Main Influencer Tier Followed,Influencer Content Type Considered,Purchased After Influencer Recommendation,Likelihood to Try Influencer Brand,Willingness to Pay Extra,Main Challenge,Influencer Marketing Effectiveness,Most Influential Ad Format,Purchase Time After Influencer,Online Community Member,Would Recommend Based on Influencer,Biggest Influencer Marketing Turn-off,Preferred Discovery Channel
47,Female,"20,000–29,999",Bachelor’s Degree,Emirati,Rarely,Less than 100,Korean,"Friends/Family recommendations, Brand reputation","Instagram, YouTube",Instagram,None,Micro (10k–100k),"Instagram Posts, Instagram Reels",No,Unlikely,26–50% more,Not sure what works for me,Somewhat effective,Reel,Never,No,No,Lack of authenticity,Social media/influencers
37,Male,"5,000–9,999",Master’s Degree,Emirati,Monthly,100–249,Drugstore,"Friends/Family recommendations, Brand reputation","Instagram, YouTube, TikTok",TikTok,None,Micro (10k–100k),"Instagram Posts, Instagram Reels",Yes,Neutral,1–10% more,Products are expensive,Somewhat effective,Reel,Immediately,No,No,Lack of authenticity,Online search
36,Female,"Less than 5,000",Bachelor’s Degree,Expat – Asian,Every 2–3 months,Less than 100,Drugstore,"Product ingredients, Price","Instagram, TikTok",Instagram,4–7,Micro (10k–100k),Instagram Posts,No,Neutral,No increase,Products are expensive,Highly effective,Story,After a long time,No,No,Unrelatable content,Online search
36,Male,"20,000–29,999",Bachelor’s Degree,Expat – Arab,Every 2–3 months,"1,000 or more",Korean,"Friends/Family recommendations, Brand reputation","Instagram, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Neutral,No increase,Too many options,Somewhat effective,Story,Within a week,No,No,Unrelatable content,Social media/influencers
72,Male,"5,000–9,999",High School,Expat – Asian,Monthly,Less than 100,Korean,"Online reviews, Friends/Family recommendations","Instagram, TikTok",YouTube,1–3,Micro (10k–100k),"Instagram Posts, Instagram Reels, YouTube Videos, TikTok Videos",No,Neutral,No increase,Hard to find in Dubai,Highly effective,Reel,Within a month,No,No,Lack of authenticity,Social media/influencers
53,Female,"10,000–19,999",High School,Expat – Asian,Weekly,100–249,Premium,"Brand reputation, Price","Instagram, YouTube, TikTok",Instagram,1–3,Macro (100k–1M),"Instagram Stories, Instagram Reels",Yes,Neutral,1–10% more,Products are expensive,Neutral,Long video (YouTube/TikTok),Within a week,No,Yes,Repetitive ads,Social media/influencers
33,Male,"30,000 or more",Bachelor’s Degree,Expat – Arab,Every 2–3 months,250–499,Drugstore,"Online reviews, Price","Instagram, Snapchat",Instagram,1–3,Micro (10k–100k),"Instagram Posts, Instagram Stories, YouTube Videos, TikTok Videos",No,Very likely,No increase,Not sure what works for me,Somewhat effective,Standard post,Never,No,Yes,Over-promotion,Online search
48,Male,"Less than 5,000",Bachelor’s Degree,Emirati,Monthly,Less than 100,Korean,"Product ingredients, Online reviews","Instagram, TikTok",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels, TikTok Videos",No,Very unlikely,1–10% more,Not sure what works for me,Somewhat effective,Standard post,Within a month,Yes,No,Over-promotion,Friends/Family
43,Male,"10,000–19,999",High School,Expat – Asian,Every 2–3 months,Less than 100,Organic/Natural,"Friends/Family recommendations, Social media influencers",Instagram,Instagram,4–7,Micro (10k–100k),"Instagram Stories, Instagram Reels",Yes,Very likely,1–10% more,Not sure what works for me,Somewhat effective,Reel,Within a month,No,Yes,Over-promotion,In-store
21,Male,"Less than 5,000",Doctorate,Emirati,Monthly,Less than 100,No preference,"Friends/Family recommendations, Social media influencers","Instagram, YouTube",Instagram,1–3,Macro (100k–1M),None,Yes,Likely,11–25% more,Too many options,Neutral,Long video (YouTube/TikTok),After a long time,No,No,Over-promotion,Social media/influencers
27,Male,"5,000–9,999",Master’s Degree,Expat – Asian,Monthly,Less than 100,Organic/Natural,"Product ingredients, Brand reputation","Instagram, YouTube, TikTok",Instagram,None,Macro (100k–1M),"Instagram Posts, Instagram Stories, Instagram Reels",Yes,Very likely,No increase,Not sure what works for me,Highly effective,Long video (YouTube/TikTok),Immediately,No,Yes,Over-promotion,Social media/influencers
44,Male,"20,000–29,999",Bachelor’s Degree,Expat – Western,Every 2–3 months,500–999,Organic/Natural,"Price, Product ingredients",Instagram,Instagram,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",No,Very likely,11–25% more,Not enough trusted reviews,Somewhat effective,Reel,Immediately,No,No,Over-promotion,Online search
69,Female,"5,000–9,999",Master’s Degree,Expat – Arab,Monthly,Less than 100,Korean,"Brand reputation, Social media influencers","Instagram, YouTube",YouTube,8 or more,Celebrity (10M+),"Instagram Posts, Instagram Stories, TikTok Videos",No,Unlikely,1–10% more,Products are expensive,Neutral,Long video (YouTube/TikTok),Immediately,No,No,Lack of authenticity,Friends/Family
36,Female,"30,000 or more",High School,Expat – Asian,Monthly,"1,000 or more",No preference,"Social media influencers, Brand reputation","Instagram, TikTok",Instagram,4–7,Micro (10k–100k),"Instagram Posts, Instagram Stories, Instagram Reels, YouTube Videos",Yes,Likely,No increase,Not sure what works for me,Not very effective,Story,Within a month,Yes,Yes,Repetitive ads,Social media/influencers
32,Female,"10,000–19,999",Bachelor’s Degree,Expat – Asian,Monthly,250–499,Korean,"Brand reputation, Social media influencers",YouTube,YouTube,None,Macro (100k–1M),"Instagram Reels, YouTube Videos",No,Unlikely,More than 50% more,Not sure what works for me,Somewhat effective,Standard post,Within a month,No,No,Lack of authenticity,Social media/influencers
41,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,Less than 100,Organic/Natural,"Price, Brand reputation","Instagram, TikTok",Instagram,None,Celebrity (10M+),Instagram Stories,No,Likely,No increase,Not sure what works for me,Somewhat effective,Reel,After a long time,No,No,Unrelatable content,Social media/influencers
31,Female,"5,000–9,999",Master’s Degree,Expat – Western,Monthly,250–499,No preference,"Product ingredients, Social media influencers",Instagram,YouTube,1–3,Macro (100k–1M),"Instagram Posts, Instagram Stories, TikTok Videos",No,Likely,1–10% more,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a month,No,No,Over-promotion,Friends/Family
35,Female,"5,000–9,999",Master’s Degree,Expat – Western,Every 2–3 months,Less than 100,No preference,"Friends/Family recommendations, Social media influencers","Instagram, TikTok",TikTok,1–3,Mega (1M–10M),"Instagram Stories, Instagram Reels",No,Likely,No increase,Products are expensive,Not very effective,Reel,Within a week,No,No,Over-promotion,Social media/influencers
39,Male,"5,000–9,999",Bachelor’s Degree,Expat – Arab,Monthly,500–999,Premium,"Online reviews, Social media influencers","Instagram, YouTube, TikTok, Snapchat",YouTube,4–7,Micro (10k–100k),"Instagram Stories, Instagram Reels, TikTok Videos",Yes,Neutral,1–10% more,Not sure what works for me,Highly effective,Long video (YouTube/TikTok),After a long time,No,Yes,Lack of authenticity,Social media/influencers
27,Female,"Less than 5,000",Doctorate,Expat – Asian,Monthly,Less than 100,Drugstore,"Friends/Family recommendations, Online reviews","Instagram, YouTube, TikTok",YouTube,4–7,Macro (100k–1M),"Instagram Posts, Instagram Reels",No,Unlikely,1–10% more,Not enough trusted reviews,Somewhat effective,Long video (YouTube/TikTok),Within a week,No,No,Repetitive ads,Online search
